School Name,Year (end year of academic year),All Subgroups Graduated ,All Subgroups Number in Cohort ,All Subgroups Percentage Graduated,American Indian or Alaska Native Graduated,American Indian or Alaska Native Number in Cohort ,American Indian or Alaska Native Percentage Graduated,Asian Graduated,Asian Number in Cohort,Asian Percentage Graduated,Black or African American Graduated,Black or African American Number in Cohort,Black or African American Percentage Graduated,Economically Disadvantaged Graduated,Economically Disadvantaged Number in Cohort,Economically Disadvantaged Percentage Graduated,Female Graduated,Female Number in Cohort,Female Percentage Graduated,Hispanic or Latino Graduated,Hispanic or Latino Number in Cohort,Hispanic or Latino Percentage Graduated,Limited English Proficient Graduated,Limited English Proficient Number in Cohort,Limited English Proficient Percentage Graduated,Male Graduated,Male Number in Cohort,Male Percentage Graduated,Migrant Graduated,Migrant Number in Cohort,Migrant Percentage Graduated,Multiple Races Graduated,Multiple Races Number in Cohort,Multiple Races Percentage Graduated,Native Hawaiian or Pacific Islander Graduated,Native Hawaiian or Pacific Islander Number in Cohort,Native Hawaiian or Pacific Islander Percentage Graduated,Students With Disabilities Graduated,Students With Disabilities Number in Cohort,Students With Disabilities Percentage Graduated,White Graduated,White Number in Cohort,White Percentage Graduated
Compadre High School,2012,136,278,48.92,0,24,0,0,0,#DIV/0!,26,53,49.06,47,98,47.96,76,129,58.91,59,123,47.97,0,0,#DIV/0!,60,149,40.27,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,15,29,51.72,36,66,54.55
Corona Del Sol High School,2012,515,540,95.37,0,0,#DIV/0!,47,48,97.92,37,37,100,30,30,100,274,283,96.82,62,63,98.41,0,0,#DIV/0!,241,257,93.77,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,31,38,81.58,362,384,94.27
Marcos De Niza High School,2012,381,417,91.37,30,43,69.77,22,23,95.65,53,54,98.15,67,86,77.91,203,219,92.69,141,151,93.38,0,0,#DIV/0!,178,198,89.9,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,33,44,75,135,145,93.1
Mcclintock High School,2012,344,380,90.53,14,17,82.35,27,34,79.41,38,42,90.48,110,116,94.83,172,186,92.47,111,121,91.74,0,0,#DIV/0!,172,194,88.66,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,25,37,67.57,153,164,93.29
Tempe High School,2012,249,284,87.68,12,13,92.31,0,11,0,47,57,82.46,94,107,87.85,133,148,89.86,143,157,91.08,0,0,#DIV/0!,116,136,85.29,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,25,39,64.1,36,45,80
Grand Total Tempe High Schools,2012,1625,1899,85.57,56,97,57.73,96,116,82.76,201,243,82.72,348,437,79.63,858,965,88.91,516,615,83.9,0,0,#DIV/0!,767,934,82.12,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,129,187,68.98,722,804,89.8
Tempe Union HS District,2012,3301,3685,89.6,363,423,85.8,237,255,92.9,773,900,85.9,99,135,73.3,,,,1816,1951,93.1,,11,90.9,472,576,81.9,,12,33.3,198,278,71.2,0,0,0,1701,1851,91.9,1600,1834,87.2
Maricopa County,2012,38824,49300,78.8,729,1120,65.1,1651,1879,87.9,2661,3668,72.5,13262,18143,73.1,20277,24437,83,13363,18792,71.1,158,727,21.7,18547,24863,74.6,,14,71.4,345,424,81.4,57,92,62,2877,4201,68.5,20011,23213,86.2
State of Arizona,2012,59208,77247,76.65,2849,4391,64.88,1959,2260,86.68,3235,4531,71.4,21657,30473,71.07,30686,37938,80.88,21449,30496,70.33,281,1200,23.42,28522,39309,72.56,151,201,75.12,621,792,78.41,102,161,63.35,4816,7358,65.45,28985,34461,84.11
Compadre High School,2013,115,305,37.7,6,28,21.43,0,0,#DIV/0!,33,73,45.21,52,144,36.11,67,140,47.86,49,128,38.28,0,0,#DIV/0!,48,165,29.09,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,9,26,34.62,26,69,37.68
Corona Del Sol High School,2013,545,578,94.29,11,12,91.67,60,63,95.24,28,34,82.35,35,39,89.74,264,275,96,74,83,89.16,0,0,#DIV/0!,281,303,92.74,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,33,46,71.74,370,384,96.35
Marcos De Niza High School,2013,386,440,87.73,30,39,76.92,17,17,100,56,68,82.35,99,124,79.84,190,206,92.23,141,157,89.81,0,0,#DIV/0!,196,234,83.76,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,22,42,52.38,140,157,89.17
Mcclintock High School,2013,347,410,84.63,16,21,76.19,31,33,93.94,33,41,80.49,36,45,80,171,197,86.8,112,131,85.5,0,0,#DIV/0!,176,213,82.63,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,14,25,56,150,178,84.27
Tempe High School,2013,239,283,84.45,10,11,90.91,10,11,90.91,43,51,84.31,114,134,85.07,139,155,89.68,150,171,87.72,0,0,#DIV/0!,100,128,78.13,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,25,34,73.53,25,37,67.57
Grand Total Tempe High Schools,2013,1632,2016,80.95,73,111,65.77,118,124,95.16,193,267,72.28,336,486,69.14,831,973,85.41,526,670,78.51,0,0,#DIV/0!,801,1043,76.8,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,711,825,86.18
Tempe Union HS District,2013,2921,3465,84.3,88,128,68.8,221,238,92.9,303,404,75,498,667,74.7,1490,1696,87.9,714,898,79.5,1,11,9.1,1431,1769,80.9,,,,20,27,74.1,,,,148,255,58,1573,1762,89.3
Maricopa County,2013,38483,50152,76.7,631,1050,60.1,1689,1969,85.8,2478,3540,70,13735,19397,70.8,20094,24911,80.7,13546,19578,69.2,125,613,20.4,18389,25241,72.9,,,,480,609,78.8,85,130,65.4,2836,4385,64.7,19574,23202,84.4
State of Arizona,2013,58370,77685,75.14,2496,4082,61.15,2081,2439,85.32,3094,4446,69.59,21897,31543,69.42,30390,38195,79.57,21458,31123,68.95,192,963,19.94,27980,39490,70.85,189,263,71.86,795,1011,78.64,144,207,69.57,4759,7511,63.36,28302,34278,82.57
Compadre High School,2014,128,390,32.82,3,30,10,0,0,#DIV/0!,29,70,41.43,1,26,3.85,60,165,36.36,55,179,30.73,0,0,#DIV/0!,68,225,30.22,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,7,26,26.92,37,99,37.37
Corona Del Sol High School,2014,430,658,65.35,7,20,35,48,68,70.59,23,33,69.7,0,0,#DIV/0!,203,312,65.06,55,101,54.46,0,0,#DIV/0!,227,346,65.61,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,4,26,15.38,291,425,68.47
Marcos De Niza High School,2014,373,441,84.58,42,51,82.35,10,11,90.91,52,59,88.14,0,0,#DIV/0!,209,234,89.32,135,174,77.59,0,0,#DIV/0!,164,207,79.23,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,30,51,58.82,128,140,91.43
Mcclintock High School,2014,333,426,78.17,16,24,66.67,27,31,87.1,31,48,64.58,0,0,#DIV/0!,194,235,82.55,127,162,78.4,0,0,#DIV/0!,139,191,72.77,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,10,29,34.48,129,156,82.69
Tempe High School,2014,274,326,84.05,0,0,#DIV/0!,0,0,#DIV/0!,31,41,75.61,0,0,#DIV/0!,156,172,90.7,184,213,86.38,0,0,#DIV/0!,118,154,76.62,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,18,39,46.15,36,43,83.72
Grand Total Tempe High Schools,2014,1538,2241,68.63,68,125,54.4,85,110,77.27,166,251,66.14,1,26,3.85,822,1118,73.52,556,829,67.07,0,0,#DIV/0!,716,1123,63.76,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,69,171,40.35,621,863,71.96
Tempe Union HS District,2014,2785,3657,76.2,98,163,60.1,210,250,84,310,418,74.2,5,42,11.9,1448,1791,80.8,769,1082,71.1,3,23,13,1337,1866,71.7,,,,35,51,68.6,10,18,55.6,130,264,49.2,1353,1675,80.8
Maricopa County,2014,39723,51601,77,738,1209,61,1696,1975,85.9,2614,3647,71.7,13676,19032,71.9,20686,25642,80.7,14406,20444,70.5,122,704,17.3,19037,25959,73.3,31,40,77.5,557,739,75.4,96,147,65.3,2869,4427,64.8,19616,23440,83.7
State of Arizona,2014,59994,79189,75.76,2562,4064,63.04,2027,2380,85.17,3232,4554,70.97,21416,30274,70.74,31156,39035,79.82,22736,32289,70.41,225,1171,19.21,28838,40154,71.82,303,453,66.89,911,1234,73.82,154,229,67.25,4766,7547,63.15,28372,34439,82.38
Compadre High School,2015,91,273,33.33,6,21,28.57,0,0,#DIV/0!,15,36,41.67,0,13,0,46,110,41.82,38,133,28.57,0,0,#DIV/0!,45,163,27.61,0,0,#DIV/0!,7,21,33.33,0,0,#DIV/0!,6,18,33.33,24,61,39.34
Corona Del Sol High School,2015,582,617,94.33,0,0,#DIV/0!,52,53,98.11,22,27,81.48,0,0,#DIV/0!,295,307,96.09,101,109,92.66,0,0,#DIV/0!,287,310,92.58,0,0,#DIV/0!,23,24,95.83,0,0,#DIV/0!,34,50,68,372,392,94.9
Marcos De Niza High School,2015,310,357,86.83,29,34,85.29,0,0,#DIV/0!,33,38,86.84,0,0,#DIV/0!,151,170,88.82,130,148,87.84,0,0,#DIV/0!,159,187,85.03,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,27,39,69.23,102,120,85
Mcclintock High School,2015,358,408,87.75,19,19,100,18,20,90,17,22,77.27,0,0,#DIV/0!,186,212,87.74,123,148,83.11,0,0,#DIV/0!,172,196,87.76,0,0,#DIV/0!,12,18,66.67,0,0,#DIV/0!,17,30,56.67,168,180,93.33
Tempe High School,2015,275,322,85.4,11,15,73.33,10,12,83.33,36,44,81.82,0,0,#DIV/0!,141,161,87.58,168,191,87.96,0,0,#DIV/0!,134,161,83.23,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,26,39,66.67,37,45,82.22
Grand Total Tempe High Schools,2015,1616,1977,81.74,65,89,73.03,80,85,94.12,123,167,73.65,0,13,0,819,960,85.31,560,729,76.82,0,0,#DIV/0!,797,1017,78.37,0,0,#DIV/0!,42,63,66.67,0,0,#DIV/0!,110,176,62.5,703,798,88.1
Tempe Union HS District,2015,2872,3319,86.5,95,122,77.9,180,192,93.8,243,306,79.4,0,30,0,1462,1642,89,828,1019,81.3,5,21,23.8,1410,1677,84.1,,,,128,155,82.6,12,13,92.3,166,258,64.3,1386,1512,91.7
Maricopa County,2015,41614,52211,79.7,662,1032,64.1,1622,1778,91.2,2610,3433,76,14469,19147,75.6,21651,26058,83.1,15784,21377,73.8,352,877,40.1,19963,26153,76.3,23,29,79.3,937,1386,67.6,135,171,78.9,3116,4575,68.1,19864,23034,86.2
State of Arizona,2015,60299,77760,77.55,2571,3911,65.74,2049,2344,87.41,3235,4378,73.89,21408,29235,73.23,31311,38480,81.37,22788,31530,72.27,232,934,24.84,28988,39280,73.8,302,414,72.95,945,1421,66.5,156,224,69.64,4805,7326,65.59,28555,33952,84.1
Compadre High School,2016,58,209,27.75,6,22,27.27,0,0,#DIV/0!,12,44,27.27,0,0,#DIV/0!,29,87,33.33,24,89,26.97,0,0,#DIV/0!,29,122,23.77,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,2,11,18.18,14,52,26.92
Corona Del Sol High School,2016,646,677,95.42,11,13,84.62,63,65,96.92,29,33,87.88,0,0,#DIV/0!,331,343,96.5,114,123,92.68,0,0,#DIV/0!,315,334,94.31,0,0,#DIV/0!,28,29,96.55,0,0,#DIV/0!,28,37,75.68,399,412,96.84
Marcos De Niza High School,2016,317,356,89.04,22,26,84.62,0,0,#DIV/0!,30,33,90.91,0,0,#DIV/0!,145,163,88.96,143,165,86.67,0,0,#DIV/0!,172,193,89.12,0,0,#DIV/0!,11,11,100,0,0,#DIV/0!,25,36,69.44,101,110,91.82
Mcclintock High School,2016,332,368,90.22,17,18,94.44,19,20,95,41,45,91.11,0,0,#DIV/0!,185,199,92.96,129,139,92.81,0,0,#DIV/0!,147,169,86.98,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,18,27,66.67,117,135,86.67
Tempe High School,2016,270,322,83.85,7,11,63.64,0,0,#DIV/0!,28,36,77.78,0,0,#DIV/0!,155,171,90.64,186,221,84.16,0,0,#DIV/0!,115,151,76.16,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,26,40,65,31,35,88.57
Grand Total Tempe High Schools,2016,1623,1932,84.01,63,90,70,82,85,96.47,140,191,73.3,0,0,#DIV/0!,845,963,87.75,596,737,80.87,0,0,#DIV/0!,778,969,80.29,0,0,#DIV/0!,39,40,97.5,0,0,#DIV/0!,99,151,65.56,662,744,88.98
Tempe Union HS District,2016,2841,3238,87.7,89,117,76.1,181,188,96.3,288,351,82.1,,,,1460,1621,90.1,838,996,84.1,7,23,30.4,1381,1617,85.4,,,,113,120,94.2,19,19,100,149,222,67.1,1313,1447,90.7
Maricopa County,2016,43218,53585,80.7,798,1256,63.5,1697,1871,90.7,2863,3729,76.8,15485,20283,76.3,22318,26696,83.6,16662,21799,76.4,230,761,30.2,20900,26889,77.7,36,42,85.7,910,1141,79.8,131,162,80.9,3332,4828,69,20142,23517,85.6
State of Arizona,2016,64135,79986,80.18,2699,3965,68.07,2092,2316,90.33,3462,4544,76.19,23996,31379,76.47,32899,39411,83.48,26161,33825,77.34,413,1222,33.8,31236,40573,76.99,485,600,80.83,1374,1706,80.54,187,241,77.59,5373,7833,68.59,28143,33230,84.69
Compadre High School,2017,55,169,32.54,9,22,40.91,0,0,#DIV/0!,9,30,30,0,0,#DIV/0!,32,83,38.55,25,90,27.78,0,0,#DIV/0!,23,86,26.74,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,8,18,44.44
Corona Del Sol High School,2017,672,700,96,11,12,91.67,64,66,96.97,37,40,92.5,0,0,#DIV/0!,335,345,97.1,132,141,93.62,0,0,#DIV/0!,337,355,94.93,0,0,#DIV/0!,45,47,95.74,0,0,#DIV/0!,27,30,90,379,390,97.18
Marcos De Niza High School,2017,284,333,85.29,25,31,80.65,12,13,92.31,26,30,86.67,0,0,#DIV/0!,140,161,86.96,139,167,83.23,0,0,#DIV/0!,144,172,83.72,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,16,30,53.33,70,79,88.61
Mcclintock High School,2017,370,408,90.69,14,16,87.5,20,21,95.24,40,41,97.56,0,0,#DIV/0!,186,201,92.54,136,156,87.18,0,0,#DIV/0!,184,207,88.89,0,0,#DIV/0!,17,17,100,0,0,#DIV/0!,18,25,72,141,155,90.97
Tempe High School,2017,294,332,88.55,0,0,#DIV/0!,0,0,#DIV/0!,34,38,89.47,0,0,#DIV/0!,162,172,94.19,216,241,89.63,0,0,#DIV/0!,132,160,82.5,0,0,#DIV/0!,0,0,#DIV/0!,0,0,#DIV/0!,24,37,64.86,28,34,82.35
Grand Total Tempe High Schools,2017,1675,1942,86.25,59,81,72.84,96,100,96,146,179,81.56,0,0,#DIV/0!,855,962,88.88,648,795,81.51,0,0,#DIV/0!,820,890,92.13,0,0,#DIV/0!,62,64,96.88,0,0,#DIV/0!,85,122,69.67,626,676,92.6
Tempe Union HS District,2017,2956,3309,89.3,102,129,79.1,177,183,96.7,303,351,86.3,,,,1532,1675,91.5,907,1071,84.7,9,27,33.3,1424,1634,87.1,,,,158,169,93.5,16,19,84.2,145,200,72.5,1293,1387,93.2
Maricopa County,2017,43992,56332,78.1,779,1293,60.2,1786,1956,91.3,2845,3795,75,14480,20315,71.3,22704,27907,81.4,17211,23595,72.9,219,647,33.8,21288,28425,74.9,32,41,78,1027,1359,75.6,129,171,75.4,3302,4919,67.1,20215,24149,83.7
State of Arizona,2017,65533,83995,78.02,2796,4175,66.97,2128,2347,90.67,3400,4604,73.85,22105,30556,72.34,33737,41399,81.49,26985,36194,74.56,390,989,39.43,31796,42596,74.65,539,645,83.57,1500,1962,76.45,194,264,73.48,5166,7775,66.44,28530,34429,82.87
Grand Total,2030,,,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
